AirportPrefix,Country,AircraftPrefix
OA,AF,YA
LA,AL,ZA
DA,DZ,7T
FN,AO,D2
TA,AG,V2
SA,AR,LQ;LV
UD,AM,EK
Y,AU,VH
LO,AT,OE
UB,AZ,4K
MY,BS,C6
OB,BH,A9C
VG,BD,S2
TB,BB,8P
UM,BY,EW
EB,BE,OO
MZ,BZ,V3
DB,BJ,TY
VQ,BT,A5
SL,BO,CP
LQ,BA,E7
FB,BW,A2
SB,BR,PP;PR;PT;PU
SD,BR,PP;PR;PT;PU
SI,BR,PP;PR;PT;PU
SJ,BR,PP;PR;PT;PU
SN,BR,PP;PR;PT;PU
SS,BR,PP;PR;PT;PU
SW,BR,PP;PR;PT;PU
FJ,IO,VP
WB,BN;MY,V8
LB,BG,LZ
DF,BF,XT
HB,BI,9U
VD,KH,XU
FK,CM,TJ
C,CA,C;CF
GV,CV,D4
TN,NL;AW;CW;SX;MF,PH
MW,KY,VP-C
FE,CF,TL
FT,TD,TT
SH,CL,CC
SC,CL,CC
SK,CO,HK
FM,KM,D6
NC,CK,E5
MR,CR,TI
DI,CI,TU
LD,HR,9A
MU,CU,CU
LC,CY,5B
LK,CZ,OK
FZ,CD,9Q
EK,DK,OY
HD,DJ,J2
TD,DM,J7
MD,DO,HI
SE,EC,HC
HE,EG,SU
MS,SV,YS
FG,GQ,3C
HH,ER,E3
EE,EE,ES
FD,SZ,3DC
HA,ET,ET
PT,FM;PW,V6
NF,FJ,DQ
EF,FI;TO,OH
SO,GF,F-O
NT,PF,F
TF,GP;MQ;BL;MF,F-OG
LF,FR,F
NW,NC,F
NL,FR,F
FO,GA,TR
UG,GE,4L
ED,DE,D
ET,DE,D
DG,GH,9G
LX,GI,VP-G
LG,GR,SX
BG,GL,OY
TG,GD,J3
MG,GT,TG
GU,GN,3X
GG,GW,J5
SY,GY,8R
MT,HT,HH
MH,HN,HR
VH,HK,B
LH,HU,HA
BI,IS,TF
VE,IN,VT
VI,IN,VT
VO,IN,VT
VA,IN,VT
WA,ID,PK
WI,ID,PK
WQ,ID,PK
WR,ID,PK
OI,IR,EP
OR,IQ,YI
EI,IE,EI;EJ
LL,IL,4X
LI,IT,I
MK,JM,6Y
RJ,JP,JA
RO,JP,JA
OJ,JO,JY
UA,KZ,UP
HK,KE,5Y
PC,KI,T3
NG,KI,T3
PL,KI,T3
BK,XK,T3
OK,KW,9K
UC,KG,EX
VL,LA,RDPL
EV,LV,YL
OL,LB,OD
FX,LS,7P
GL,LR,A8
HL,LY,5A
EY,LT,LY
EL,LU,LX
VM,MO,B
Z,CN,B
FW,MW,7Q
WM,MY,9M
VR,MV,8Q
GA,ML,TZ
LM,MT,9H
PK,MH,V7
GQ,MR,5T
FI,MU,3B
MM,MX,XA;XB;XC
LU,MD,ER
LN,MC,3A
ZM,MN,JU
GM,MA,CN
FQ,MZ,C9
VY,MM,XY;XZ
FY,NA,V5
AN,NR,C2
VN,NP,9N
EH,NL,PH
NZ,NZ,ZK;ZL;ZM
MN,NI,YN
DR,NE,5U
DN,NG,5N
NI,NU,A3
ZK,KP,P
LW,MK,Z3
EN,NO,LN
OO,OM,A4O
OP,PK,AP
LV,PS,E4;SU-Y
MP,PA,HP
AY,PG,P2
SG,PY,ZP
SP,PE,OB
RP,PH,RP
EP,PL,SP
LP,PT,CR;CS
OT,QA,A7
RC,TW,B
RK,KR,HL
FC,CD,TN
LR,RO,YR
U,RU,RA
HR,RW,9XR
FH,SH,VQ-H
TK,KN,V4
TL,LC,J6
TV,VC,J8
NS,WS,5W
FP,ST,S9
OE,SA,HZ
GO,SN,6V;6W
LY,RS;ME,YU
FS,SC,S7
GF,SL,9L
WS,SG,9V
LZ,SK,OM
LJ,SI,S5
AG,SB,H4
HC,SO,6O
FA,ZA,ZS;ZT;ZU
GC,ES,EC
GE,ES,EC
LE,ES,EC
VC,LK,4R
HS,SD;SS,ST
SM,SR,PZ
ES,SE,SE
LS,CH,HB
OS,SY,YK
UT,TJ;TM;UZ,EY
HT,TZ,5H
VT,TH,HS
GB,GM,C5
WP,TL,4W
DX,TG,5V
TT,TT,9Y
DT,TN,TS
LT,TR,TC
MB,TC,VQ-T
HU,UG,5X
TX,BM,VP-B
TU,VG,VP-L
TR,MS,VP-M
TQ,AI,VP-A
UK,UA,UR
OM,AE,A6
EG,GB,G;M
SF,FK,VP-F
K,US,N
SU,UY,CX
PF,US,N
PO,US,N
PP,US,N
PB,US,N
PG,GU;MP,N
PH,US,N
PJ,US,N
PM,US,N
TJ,PR,N
PW,US,N
PA,US,N
TI,VI,N
NV,VU,YJ
SV,VE,YV
VV,VN,XV
GS,EH,CN
OY,YE,7O
FL,ZM,9J
FV,ZW,Z
